[CMD] /Users/parkcart/workspace/occlusion-cbf/.venv/bin/python3 tools/benchmark_crowd_trials.py --scenario crowd2 --baseline oacp_mpc --model di --seed 42 --idx-start 1 --idx-end 100 --n-rand 50 --tf 500.0 --crowd-mode forced_emergence --forced-events 6 --forced-hidden-speed 1.0 --workers 10
[RUN] scenario=crowd2 label=oacp_mpc baseline=oacp_mpc pos=oacp_mpc model=di seed=42 idx=1..100 n_rand=50 tf=500.0 wmax=default oa_allow_solver_fallback=None oa_dynamic_occluders=None oa_dsafe=None oa_visible_reach_mode=None oa_use_nominal_tracking_cost=None oa_dt=None occ_version=None occ_visible_scale=None occ_enable_visible_hocbf=False crowd_mode=forced_emergence
[RUN] show_animation=False, save_animation=False
[001/100] idx=  6 -> infeasible (raw=infeasible, compute_ms=675.2471992590775, intv=0.0685271730230007)
[002/100] idx=  7 -> collision  (raw=collision, compute_ms=618.1305675819158, intv=0.8444383555804997)
[003/100] idx= 10 -> infeasible (raw=infeasible, compute_ms=635.5512545612949, intv=0.42527179738426935)
[004/100] idx=  9 -> collision  (raw=collision, compute_ms=638.4412012854939, intv=0.2804237240846538)
[005/100] idx= 13 -> infeasible (raw=infeasible, compute_ms=685.2061531263525, intv=0.5549805593018159)
[006/100] idx=  8 -> collision  (raw=collision, compute_ms=648.5777061259907, intv=0.4331315524834368)
[007/100] idx= 14 -> collision  (raw=collision, compute_ms=671.38387078548, intv=0.6990803511828211)
[008/100] idx=  2 -> infeasible (raw=infeasible, compute_ms=642.5023807417464, intv=0.2170639036228986)
[009/100] idx=  1 -> success    (raw=success, compute_ms=640.5032724129235, intv=0.1318134943620479)
[010/100] idx= 15 -> collision  (raw=collision, compute_ms=635.3889831515397, intv=0.4431678121837333)
[011/100] idx=  3 -> success    (raw=success, compute_ms=633.6219912824947, intv=0.1910395213571329)
[012/100] idx=  5 -> success    (raw=success, compute_ms=630.4224673928799, intv=0.399975743117595)
[013/100] idx=  4 -> success    (raw=success, compute_ms=634.8903084450761, intv=0.49227106193916415)
[014/100] idx= 12 -> success    (raw=success, compute_ms=633.1559454662071, intv=0.1893012357528723)
[015/100] idx= 17 -> collision  (raw=collision, compute_ms=639.8533917799209, intv=0.5254043990863844)
[016/100] idx= 11 -> success    (raw=success, compute_ms=647.0572742050758, intv=0.34416614948575863)
[017/100] idx= 23 -> collision  (raw=collision, compute_ms=633.5246856270421, intv=0.549640231114669)
[018/100] idx= 21 -> infeasible (raw=infeasible, compute_ms=632.7918609606616, intv=0.5696360927972985)
[019/100] idx= 28 -> infeasible (raw=infeasible, compute_ms=634.3556732773498, intv=0.2952747626660979)
[020/100] idx= 16 -> success    (raw=success, compute_ms=624.7007173158707, intv=0.15975926632410836)
[021/100] idx= 19 -> collision  (raw=collision, compute_ms=631.8910961757259, intv=0.514531782540029)
[022/100] idx= 18 -> success    (raw=success, compute_ms=625.4681060547243, intv=0.40449275086738257)
[023/100] idx= 20 -> success    (raw=success, compute_ms=628.4825988540663, intv=0.2708758292688885)
[024/100] idx= 32 -> infeasible (raw=infeasible, compute_ms=726.589183229038, intv=0.44289997093722705)
[025/100] idx= 29 -> collision  (raw=collision, compute_ms=646.1467448183938, intv=0.2897499188570141)
[026/100] idx= 24 -> success    (raw=success, compute_ms=631.9941127071452, intv=0.2480198849602102)
[027/100] idx= 26 -> success    (raw=success, compute_ms=656.0773685418665, intv=0.30850026518935697)
[028/100] idx= 25 -> success    (raw=success, compute_ms=642.4728551732724, intv=0.2819107849180812)
[029/100] idx= 35 -> collision  (raw=collision, compute_ms=642.1400965251545, intv=0.548014471391433)
[030/100] idx= 22 -> success    (raw=success, compute_ms=646.7749003601934, intv=0.5493566284346383)
[031/100] idx= 39 -> collision  (raw=collision, compute_ms=609.6487791719846, intv=0.35762377251030425)
[032/100] idx= 38 -> collision  (raw=collision, compute_ms=631.3864798017289, intv=0.6163814314390589)
[033/100] idx= 27 -> success    (raw=success, compute_ms=648.7968936671266, intv=0.3397230770850055)
[034/100] idx= 43 -> infeasible (raw=infeasible, compute_ms=728.109958356005, intv=0.739757631554116)
[035/100] idx= 31 -> success    (raw=success, compute_ms=662.8892259495997, intv=0.2331036068389531)
[036/100] idx= 30 -> success    (raw=success, compute_ms=660.5086798271, intv=0.268462585715417)
[037/100] idx= 34 -> collision  (raw=collision, compute_ms=656.845507118851, intv=0.48700249903109544)
[038/100] idx= 42 -> collision  (raw=collision, compute_ms=715.7724861110333, intv=0.5604624760387145)
[039/100] idx= 45 -> collision  (raw=collision, compute_ms=705.3398636786862, intv=0.2749718123357771)
[040/100] idx= 41 -> collision  (raw=collision, compute_ms=698.5836573855702, intv=0.3284559415467373)
[041/100] idx= 40 -> collision  (raw=collision, compute_ms=680.5936017326945, intv=0.5667728047321265)
[042/100] idx= 33 -> success    (raw=success, compute_ms=660.3305041419288, intv=0.23145038483264335)
[043/100] idx= 47 -> infeasible (raw=infeasible, compute_ms=645.5191490742756, intv=0.299934008037228)
[044/100] idx= 46 -> collision  (raw=collision, compute_ms=655.7024900446264, intv=0.6536607857870603)
[045/100] idx= 37 -> success    (raw=success, compute_ms=658.7652419409459, intv=0.28454772551742424)
[046/100] idx= 49 -> collision  (raw=collision, compute_ms=627.2311310706863, intv=0.3795089061720031)
[047/100] idx= 56 -> infeasible (raw=infeasible, compute_ms=624.1031864037852, intv=0.4833096750018603)
[048/100] idx= 51 -> infeasible (raw=infeasible, compute_ms=638.5960408373589, intv=0.6037590840131186)
[049/100] idx= 36 -> success    (raw=success, compute_ms=654.1442666066278, intv=0.4311992773865932)
[050/100] idx= 59 -> infeasible (raw=infeasible, compute_ms=606.7514203118849, intv=0.18986081145485534)
[051/100] idx= 48 -> success    (raw=success, compute_ms=633.9341296548101, intv=0.16427265045873318)
[052/100] idx= 44 -> success    (raw=success, compute_ms=642.5373745782925, intv=0.2959229920995384)
[053/100] idx= 57 -> infeasible (raw=infeasible, compute_ms=632.7092331130466, intv=0.4062913706317486)
[054/100] idx= 55 -> collision  (raw=collision, compute_ms=629.5094878924897, intv=0.569856951075125)
[055/100] idx= 62 -> collision  (raw=collision, compute_ms=632.9052870036103, intv=0.6886783791714017)
[056/100] idx= 60 -> infeasible (raw=infeasible, compute_ms=630.3451864617082, intv=0.22748120550492257)
[057/100] idx= 52 -> success    (raw=success, compute_ms=627.5959007082326, intv=0.20508026649798222)
[058/100] idx= 64 -> infeasible (raw=infeasible, compute_ms=625.290757014255, intv=0.4573916529936207)
[059/100] idx= 53 -> success    (raw=success, compute_ms=624.4152476646314, intv=0.27212626200757145)
[060/100] idx= 50 -> success    (raw=success, compute_ms=632.4894273404336, intv=0.3952104404711001)
[061/100] idx= 66 -> collision  (raw=collision, compute_ms=643.68730245373, intv=0.6274838979988948)
[062/100] idx= 63 -> infeasible (raw=infeasible, compute_ms=641.9100922686592, intv=0.38908239776035936)
