method,method_label,model,n_rand,config_label,case_indices,warmup_steps_per_case,timed_steps_per_case,timed_step_samples,avg_compute_time_ms,case_compute_time_ms,case_wall_time_s
cbf_qp,CBF-QP,di,10,DI-10,"1,2",10,50,100,0.6593608134426177,"[0.6524991430342197, 0.6662224838510156]","[0.26609637518413365, 0.17775554186664522]"
single_risk_mpc,Single-Risk MPC,di,10,DI-10,"1,2",10,50,100,12.989774991292506,"[12.992331627756357, 12.987218354828656]","[0.9520614999346435, 0.9720715000294149]"
control_tree_mpc,Control-Tree MPC,di,10,DI-10,"1,2",10,50,100,106.67579294880852,"[108.08781082741916, 105.26377507019788]","[7.235399041092023, 6.934134874958545]"
oacp_mpc,OACP-MPC,di,10,DI-10,"1,2",10,50,100,87.36827620770782,"[85.26059068739414, 89.4759617280215]","[6.536258917069063, 6.846393707906827]"
oa_mpc,OA-MPC,di,10,DI-10,"1,2",10,50,100,93.82219422142953,"[72.18316344544291, 115.46122499741614]","[4.308927334146574, 6.892888416070491]"
occlusion_cbf,Occlusion-CBF (ours),di,10,DI-10,"1,2",10,50,100,1.5957517037168145,"[1.277045039460063, 1.914458367973566]","[0.9971812919247895, 0.2645113749895245]"
cbf_qp,CBF-QP,di,30,DI-30,"1,2",10,50,100,0.7397696352563798,"[0.749375051818788, 0.7301642186939716]","[0.23637079098261893, 0.24762858380563557]"
single_risk_mpc,Single-Risk MPC,di,30,DI-30,"1,2",10,50,100,13.756701620295644,"[13.95188916940242, 13.561514071188867]","[1.0683625000528991, 1.0488946670666337]"
control_tree_mpc,Control-Tree MPC,di,30,DI-30,"1,2",10,50,100,110.65097377868369,"[116.11379843205214, 105.18814912531525]","[7.520279375137761, 7.020292167086154]"
oacp_mpc,OACP-MPC,di,30,DI-30,"1,2",10,50,100,89.43446540739387,"[90.73442083317786, 88.13450998160988]","[7.068445625016466, 6.883107166038826]"
oa_mpc,OA-MPC,di,30,DI-30,"1,2",10,50,100,151.4436883525923,"[147.01314171310514, 155.87423499207944]","[8.649709792109206, 9.383678166894242]"
occlusion_cbf,Occlusion-CBF (ours),di,30,DI-30,"1,2",10,50,100,2.3464649659581482,"[2.4710008269175887, 2.2219291049987078]","[0.30529320798814297, 0.3022243748418987]"
cbf_qp,CBF-QP,di,50,DI-50,"1,2",10,50,100,0.7530071050859988,"[0.727430866099894, 0.7785833440721035]","[0.3217800830025226, 0.4332424998283386]"
single_risk_mpc,Single-Risk MPC,di,50,DI-50,"1,2",10,50,100,15.356102120131254,"[14.726021732203662, 15.986182508058846]","[1.1773401249665767, 1.330162542173639]"
control_tree_mpc,Control-Tree MPC,di,50,DI-50,"1,2",10,50,100,117.03904135385528,"[117.38981091417372, 116.68827179353684]","[7.787766042165458, 7.755464917048812]"
oacp_mpc,OACP-MPC,di,50,DI-50,"1,2",10,50,100,88.82954288739711,"[87.00589419808239, 90.65319157671183]","[6.8481495410669595, 7.205706042004749]"
oa_mpc,OA-MPC,di,50,DI-50,"1,2",10,50,100,186.94567295024171,"[179.29310002364218, 194.59824587684125]","[10.668455166975036, 11.877803957788274]"
occlusion_cbf,Occlusion-CBF (ours),di,50,DI-50,"1,2",10,50,100,3.881356648635119,"[4.286539140157402, 3.476174157112837]","[0.5144744589924812, 0.5120361661538482]"
cbf_qp,CBF-QP,uni,10,Unicycle-10,"1,2",10,50,100,0.6908029154874384,"[0.6714882794767618, 0.7101175514981151]","[0.13226495892740786, 0.1814341249410063]"
single_risk_mpc,Single-Risk MPC,uni,10,Unicycle-10,"1,2",10,50,100,7.249120846390724,"[7.084288336336613, 7.413953356444836]","[0.5613857500720769, 0.6262902081944048]"
control_tree_mpc,Control-Tree MPC,uni,10,Unicycle-10,"1,2",10,50,100,48.30381706589833,"[49.57455334253609, 47.033080789260566]","[3.8180126659572124, 3.491536958143115]"
oacp_mpc,OACP-MPC,uni,10,Unicycle-10,"1,2",10,50,100,80.53266166476533,"[80.14946252573282, 80.91586080379784]","[6.1770525828469545, 6.316378332907334]"
oa_mpc,OA-MPC,uni,10,Unicycle-10,"1,2",10,50,100,69.22499915584922,"[53.564630006439984, 84.88536830525845]","[3.1907033750321716, 5.133988415822387]"
occlusion_cbf,Occlusion-CBF (ours),uni,10,Unicycle-10,"1,2",10,50,100,4.115669610910118,"[4.421448432840407, 3.8098907889798284]","[1.7688447500113398, 0.3484347499907017]"
cbf_qp,CBF-QP,uni,20,Unicycle-20,"1,2",10,50,100,0.7112265680916607,"[0.7182665495201945, 0.704186586663127]","[0.2398050408810377, 0.20918179210275412]"
single_risk_mpc,Single-Risk MPC,uni,20,Unicycle-20,"1,2",10,50,100,8.138353002723306,"[8.288990091532469, 7.987715913914144]","[0.713618875015527, 0.70031529199332]"
control_tree_mpc,Control-Tree MPC,uni,20,Unicycle-20,"1,2",10,50,100,54.170226249843836,"[57.25554080680013, 51.084911692887545]","[4.136496874969453, 3.732795209158212]"
oacp_mpc,OACP-MPC,uni,20,Unicycle-20,"1,2",10,50,100,76.89967672573403,"[74.45995752234012, 79.33939592912793]","[6.077280625002459, 6.164822499966249]"
oa_mpc,OA-MPC,uni,20,Unicycle-20,"1,2",10,50,100,101.50177503703162,"[99.86153670586646, 103.14201336819679]","[6.03019787510857, 6.259380291914567]"
occlusion_cbf,Occlusion-CBF (ours),uni,20,Unicycle-20,"1,2",10,50,100,4.4981924700550735,"[4.79801666457206, 4.198368275538087]","[0.45290287490934134, 0.4008139169309288]"
cbf_qp,CBF-QP,uni,30,Unicycle-30,"1,2",10,50,100,0.7973200501874089,"[0.7720466796308756, 0.8225934207439423]","[0.2767576249316335, 0.2596017918549478]"
single_risk_mpc,Single-Risk MPC,uni,30,Unicycle-30,"1,2",10,50,100,8.675976237282157,"[9.1580417053774, 8.193910769186914]","[0.790442124940455, 0.7284687499050051]"
control_tree_mpc,Control-Tree MPC,uni,30,Unicycle-30,"1,2",10,50,100,58.92892671516165,"[64.20981505420059, 53.64803837612271]","[4.548550250008702, 3.9342297920957208]"
oacp_mpc,OACP-MPC,uni,30,Unicycle-30,"1,2",10,50,100,78.47789337625727,"[79.00239010341465, 77.95339664909989]","[6.365390583872795, 6.18597829178907]"
oa_mpc,OA-MPC,uni,30,Unicycle-30,"1,2",10,50,100,117.45779752498493,"[113.37918339762837, 121.53641165234149]","[6.708050749963149, 7.362721584038809]"
occlusion_cbf,Occlusion-CBF (ours),uni,30,Unicycle-30,"1,2",10,50,100,4.506619977764785,"[4.694658261723816, 4.318581693805754]","[0.46532254200428724, 0.4346140830311924]"
